abseil-cpp 20250814.1-1
acl 2.3.2-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.10-1
alsa-lib 1.2.15.3-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-1
antigravity 1.14.2-2
anydesk-bin 7.1.2-2
apparmor 4.1.3-1
archlinux-keyring 20260107-2
argon2 20190702-6
at-spi2-core 2.58.3-1
attr 2.5.2-1
audit 4.1.2-2
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-3
base 3-2
base-devel 1-2
bash 5.3.9-1
beads-bin 0.49.0-1
binutils 2.45.1+r35+g12d0a1dbc1b9-1
bison 3.8.2-8
bitwarden-cli 2025.11.0-1
bluez-libs 5.85-1
brave-bin 1:1.86.142-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.6-1
bubblewrap 0.11.0-1
bun 1.3.5-2
bws-bin 1.0.0-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.120-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cdparanoia 10.2-9
chezmoi 2.69.3-1
cli-proxy-api-bin 6.7.18-1
cloudflare-warp-bin 2025.10.186-1
cloudflare-warp-bin-debug 2025.10.186-1
compiler-rt 21.1.6-1
containerd 2.2.1-1
coreutils 9.9-1
cryptsetup 2.8.3-1
curl 8.18.0-2
dav1d 1.5.3-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
dconf 0.49.0-1
ddgr 2.2-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.38-1
diffutils 3.12-2
dmenu 5.4-1
docker 1:29.1.4-1
docker-compose 5.0.1-1
duktape 2.7.0-7
e2fsprogs 1.47.3-2
